AAAAUTOCLUB,"Group for drivers"
ACUPUNCTURE,"Needling?"
ACURALEGEND,"Honda-made luxury vehicle"
ACUTEACCENT,"Mark above a vowel"
ACUTEACCENT,"Sign of stress?"
ACUTEACCENT,"What the adorable Southern belle had?"
ACUTEHORDES,"Mobs of people who aren't easily fooled?"
ACUTEJANGLE,"Intense, harsh sound?"
ACUTEJANGLE,"Nerve-racking sound?"
ACUTEJANGLE,"Sharp discordant sound?"
ACUTEJANGLE,"Sharp, discordant sound?"
ACUTTHEREST,"No. 1 by a small margin"
ADALOVELACE,"Methematician believed to be the first computer programmer"
ADAMBALDWIN,"Co-star of TV's ""Chuck"""
ADAMSANDLER,"""Click"" star"
ADAMSANDLER,"""Spanglish"" star"
ADAMSANDLER,"Comedian who hit the Top 10 with ""The Chanukah Song"""
ADAMSANDLER,"Mr. Deeds player"
ADAMSANDLER,"Operaman portrayer on ""Weekend Update"""
ADAMSAPPLES,"Throat projections"
ADAMSAPPLES,"Trannies wear scarves to cover them"
ADAMSFELDON,"Smart and cohort"
ADAMSLANDER,"Defamation in the Garden of Eden?"
ADAOKLAHOMA,"Programmer's Sooner State hometown?"
ADASHERSALT,"Some seasoning?"
ADAYFORKING,"January 15?"
ADDASFRIEND,"Facebook button"
ADDINGDONGS,"Sex reassignment surgeon's task, at times?"
ADDLEHEADED,"Muddled"
ADDRESSBOOK,"Its pages have numbers"
ADDRESSCODE,"Zip?"
ADEALSADEAL,"""But hey, ___!"""
ADEGENERATE,"Mr. Robinson's opinion of Ben in The Graduate"
ADEGENERATE,"Mr. Robinson's ultimate opinion of Ben in ""The Graduate"""
ADELIEBREAD,"Three squares for the penguin?"
ADELIECOAST,"Antarctic region under French sovereignty since 1938"
ADELIECOAST,"Penguin habitat"
ADELIEHABIT,"What the penguin should break if it's bad?"
ADELIGHTBUT,"More of headline"
ADEMAGAZINE,"Periodical for fruit drink makers?"
ADGJLNPRTWY,"Long-running series?"
ADIMEADOZEN,"Cheap"
ADIMEADOZEN,"Common"
ADIMEADOZEN,"Common and cheap"
ADIMEADOZEN,"Dirt cheap"
ADIMEADOZEN,"Nothing special"
ADIMEADOZEN,"Run-of-the-mill"
ADINFINITUM,"Ceaselessly"
ADINFINITUM,"Promo after promo after promo?"
ADINFINITUM,"Without limit"
ADISCUSSION,"*Hold it"
ADISCUSSION,"Hold it"
ADISFOREVER,"Classic marketing tagline"
ADLIBRAPPER,"Impromptu street poet?"
ADMIRABLEIN,"Quote, part 2"
ADMIRALBYRD,"Explorer whose autobiography is titled ""Alone"""
ADMIRALBYRD,"Polar explorer dropping by?"
ADMIRALRANK,"R"
ADMMIDNIGHT,"Exalted 1940s radio serial fighter pilot?; Abbr."
ADMONITIONS,"Warnings"
ADOBEENCORE,"Software for video producers"
ADOBEREADER,"Acrobat's partner"
ADOBEREADER,"Acrobat's partner?"
ADOLESCENCE,"From youth to maturity"
ADOLESCENCE,"Teen years"
ADOLESCENCE,"Time of your life?"
ADOLLSHOUSE,"Henrik Ibsen classic"
ADOLLSHOUSE,"Ibsen classic"
ADOLPHGREEN,"""On the Town"" librettist"
ADOLPHGREEN,"""Singin' in the Rain"" co-screenwriter"
ADOLPHGREEN,"""Singin' in the Rain"" coauthor"
ADOLPHGREEN,"Betty Comden's partner in songwriting"
ADOZENROSES,"What you can find in the grid after completing this puzzle, looking up, down, left, right and diagonally, word search-style"
ADOZENROSES,"What's hidden elsewhere in this puzzle's grid"
ADREAMWITHI,"Stepquote part"
ADREAMYLIMO,"Stretch ride with all the accessories?"
ADRIANBROWN,"Pittsburgh Pirates' center fielder"
ADRIATICSEA,"Arm of the Mediterranean"
ADRIATICSEA,"Brijuni Islands setting"
ADRIATICSEA,"Mediterranean arm"
ADRIATICSEA,"View from Ancona"
ADRIATICSEA,"View from Venice"
ADRIENBRODY,"""The Pianist"" Oscar winner"
ADRYASABONE,"Severely parched"
ADULTERATED,"Made impure"
ADULTERATED,"No longer pure"
ADVANCETEAM,"Liaising group"
ADVERSEFORM,"Arrest record?"
ADVERTORIAL,"Client-sponsored article *"
ADVICESQUAD,"Counselors or brokers?"
ADVICESQUAD,"Dear Abby and Ann?"
ADVICESQUAD,"Therapy group?"
ADYINGBREED,"TV horror hosts, nowadays?"
ADZCAMPAIGN,"Commercials for an ax?"
AEGIRSREALM,"The sea, in Scandanavian myth"
AEOLIANHARP,"Stringed instrument named after a Greek god"
AEOLIANHARP,"Wind instrument?"
AERIALMINES,"Bombs dropped by parachute"
AERIALMINES,"Warplane's cargo"
AERIALTRAMP,"Acrobatic hobo?"
AEROSOLBOMB,"Flea remedy"
AEROSOLBOMB,"Insecticide delivery system"
AEROSOLBOMB,"LBO for an exterminator?"
AESOPRANOFF,"Moralist vanished?"
AFEWGOODMEN,"""You can't handle the truth!"""
AFEWGOODMEN,"1989 Aaron Sorkin play"
AFEWGOODMEN,"Reiner movie"
AFEWPERSONS,"Part 3 of quote"
AFFIRMAFIRM,"Validate, businesswise"
AFFIRMATIVE,"""Yes!"""
AFFIRMATIVE,"POSITIVE"
AFFIRMATIVE,"What to latch onto, with ""the""..."
AFFORDAFORD,"Be able to buy some wheels"
AFGHANHOUND,"Knitted blanket buff?"
AFGHANHOUND,"Silky-coated hunting dog"
AFGHANHOUND,"Silky-haired dog"
AFGHANISTAN,"Asian country"
AFGHANISTAN,"Canine country?"
AFGHANISTAN,"Flemish : Belgium :: Pashto : ___"
AFGHANISTAN,"It may attack Ukraine, even though they don't actually share a border"
AFGHANISTAN,"Part of Alexander the Great's conquest, today"
AFGHANISTAN,"Shocked that the Taliban blew up those ancient Buddhist statues"
AFISSIONADO,"Fan of nuclear reactions?"
AFLEAMARKET,"End of the quip"
AFRAMEHOUSE,"Certain chalet"
AFRAMEHOUSE,"Ski area rental"
AFRAMEHOUSE,"Ski area rental, often"
AFRAMEHOUSE,"Ski chalet, often"
AFRAMEIBEAM,"Chalet support, possibly"
AFRAMEIBEAM,"Ski house support?"
AFRICANBIRD,"SECRETARY"
AFRUITSALAD,"End of the seed pearl"
AFTERASKORT,"Seeking the right women's tennis attire?"
AFTERAWEILL,"Later, to Kurt?"
AFTERAWHILE,"Later"
AFTERAWHILE,"Later on"
AFTERBURNER,"Turbojet device"
AFTERREBATE,"Come-on to those who are patient"
AFTERSCHOOL,"Homework time, typically"
AFTERSCHOOL,"Special time?"
AFTERSHOCKS,"Small earthquakes that follow major earthquakes"
AFTERSHUCKS,"Regrets about that earthquake kit?"
AFTERSHUCKS,"When you might hear ""gee whiz""?"
AFTERSHUCKS,"When you might say ""Gee whiz"""
AFTERTHEMAN,"A. Miller play"
AFTERTWELVE,"Start of a quote by comedian Ronnie Shakes"
AGAINSTTHEW,"Anti-Bush?"
AGATEKEEPER,"Marble collector?"
AGEINCREASE,"Inevitable fact of life?"
AGEMANAGERS,"Fountain of Youth seekers?"
AGENTORANGE,"Controversial Vietnam herbicide"
AGENTORANGE,"Deadly defoliant"
AGENTORANGE,"Deadly defoliator"
AGENTORANGE,"Deleterious defoliant"
AGENTORANGE,"Herbicide used in Vietnam"
AGENTORANGE,"Herbicide with a colorful name"
AGENTORANGE,"Powerful defoliant"
AGENTORANGE,"Powerful herbicide with a colorful name"
AGENTORANGE,"Powerful toxic defoliant"
AGENTORANGE,"Toxic defoliant used in Vietnam"
AGENTORANGE,"Toxic defoliant used in the Vietnam War"
AGENTORANGE,"Toxic herbicide"
AGENTORANGE,"Vietnam War defoliant"
AGEOFREASON,"18th century movement"
AGEOFREASON,"When one begins to distinguish right from wrong"
AGESANDAGES,"Extremely long time"
AGESANDAGES,"Very long time"
AGESANDAGES,"Very long time, and a hint to this puzzle's theme"
AGESTARTSTO,"Part 3 of quip"
AGETAWAYCAR,"If your hunting trips involve ___, you might be a redneck"
AGGLOMERATE,"Form a rounded mass"
AGGLOMERATE,"Form into one cluster"
AGLOWNECKED,"Badly sunburned?"
AGOICOULDNT,"Quip, part 2"
AGOLFCOURSE,"End of the daffy-nition"
AGOODMEANIE,"Bully turned Samaritan?"
AGORAOFHENS,"Ancient Greek poultry market?"
AGORAPHOBIA,"Fear of public places"
AGORAPHOBIC,"Larval fruit flies with this gene never leave their eggshells"
AGRACULTURE,"Taj Mahal crop?"
AGRACULTURE,"The Indian carvings at the Taj Mahal imparted some ___"
AGRITOURISM,"Vacation trips to working farms (and a 2006 dictionary addition)"
AHABTHEARAB,"1962 Ray Stevens hit"
AHABTHEARAB,"Ray Stevens sheik"
AHABTHEARAB,"Sheik in a Ray Stevens song"
AHEADOFTIME,"Henry Luce, notably?"
AHEADOFTIME,"Henry Luce, once?"
AHEADOFTIME,"How this answer is situated"
AHEADOFTIME,"In advance"
AHEADOFTIME,"Newsmagazine editor?"
AHEADOFTIME,"PRIME"
AHEADOFTIME,"TIMBREL"
AHEADOFTIME,"When to make reservations"
AHEADTURNER,"Stew thought pretty Ms. Cabbage was ___"
AHMADINEJAD,"Speaker at Columbia 9/24/2007"
AHMADRASHAD,"Emmy Award-winning host of ""Inside Stuff"""
AHMADRASHAD,"NFC's leading receiver, 1977"
AHMADRASHAD,"Wide receiver turned broadcaster"
AHOLEINTHEW,"Result of pranksters shooting at Wal-Mart's sign?"
AIDEDECHAMP,"Muhammed Ali's coach?"
AIDESDECAMP,"Assistants in the service"
AIDESDECAMP,"Junior officers make changes in mid-escapade (5-2-4)"
AIDORIMPEDE,"SANCTION"
AILINGLABEL,"*Record company in financial difficulty?"
AILINGORDER,"Sick skipper's command?"
AIMANDSHOOT,"Use a gun or a camera"
AIMTOPLEASE,"Focus on satisfaction"
AIMTOPLEASE,"Make customer satisfaction a goal"
AINTIAWOMAN,"FEMINIST WORK BY bell hooks"
AINTLIFEGRA,"Contented query"
AIRAPPARENT,"Evident music?"
AIRAPPARENT,"Obvious melody?"
AIRAPPARENT,"Smog?"
AIRBRUSHING,"Photo lab job"
AIRCOLORING,"Azure?"
AIRCOOLIDGE,"Televise a president?"
AIRDROPPING,"Delivering in flight, as military supplies"
AIRFORCEEON,"Long period of high-flying military might?"
AIRFORCEONE,"*President's ride"
AIRFORCEONE,"1997 Harrison Ford film"
AIRFORCEONE,"1997 Harrison Ford thriller"
AIRFORCEONE,"Bush pilot's plane?"
AIRFORCEONE,"Campaign flier?"
AIRFORCEONE,"Film in which Ford was president"
AIRFORCEONE,"Harrison Ford thriller"
AIRFORCEWON,"Film about a victorious academy?"
AIRFORCEWON,"Service academy's victory cry?"
AIRLINEFEED,"The next step in treating flyers like cattle?"
AIRLINEFOOD,"It's eaten up, so to speak*"
AIRMATTRESS,"Guest bedding"
AIRMATTRESS,"Inflatable sleeping surface"
AIROFPARENT,"Mom's bearing?"
AIROFTHEDOG,"Lassie's distinctive manner?"
AIRPORTFRIG,"*TSA treatment that goes way beyond inappropriate touching?"
AIRPORTSHUT,"Sign outside a boarded-up JFK?"
AIRPRESSURE,"It can be measured in inches of mercury"
AIRPRESSURE,"Meteorologist's or motorist's concern"
AIRPRESSURE,"Tire-maintenance concern (3,8)"
AIRPRESSURE,"Weather factor"
AIRRAIDSINS,"Civil defense devices"
AIRSECURITY,"Post-9/11 concern"
AIRTERMINAL,"One of many at JFK"
AIRYCHESTED,"Having just inhaled very deeply?"
AISFORALIBI,"Book planned to have 25 sequels"
AISFORALIBI,"Debut of Kinsey Millhone"
AISLELIGHTS,"Theater guides"
AISLEOFMANN,"Educator's passage"
AJOYFOREVER,"A thing of beauty, in Keats' ""Endymion"""
AKITABRYANT,"Canine singer?"
ALABAMYBOND,"Pact between kinfolk from Mobile?"
ALADDINSANE,"Mid-'70s David Bowie alter ego"
ALADDINSANE,"One of David Bowie's many alter egos of the 1970s"
ALADDINSLAP,"Item that disappears when an 'Arabian Nights' character stands up?"
ALAMOFIESTA,"Party in San Antonio?"
ALAMOTOILET,"Where Jim Bowie went to the bathroom?"
ALANCKBOURN,"""The Norman Conquests"" playwright"
ALANJACKSON,"Country capital?"
ALANPARRISH,"Robin Williams in ""Jumanji"""
ALANPARSONS,"Project leader?"
ALANSHEPARD,"""Because of the suit I was wearing, I couldn't get a good pivot on the swing."""
ALANSHEPARD,"First American in space, 1961"
ALANSHEPARD,"First American to fly in space (May 5, 1961)"
ALANSHEPARD,"He walked on the moon"
ALANSHEPARD,"Premier astronaut"
ALANSHEPARD,"The first American in space"
ALARMCLOCKS,"Sleep enders"
ALARMCLUCKS,"Sounds heard when a fox enters a henhouse?"
ALARMSYSTEM,"Chili chef's apartment-hunting requirement?"
ALARMTHESET,"Frighten a film crew?"
ALASKASFLAG,"Rep. Don Young's state song"
ALASTAIRSIM,"""A Christmas Carol"" (1951) star"
ALASTAIRSIM,"1951 Scrooge player"
ALASTAIRSIM,"Character actor who played Scrooge in ""A Christmas Carol,"" 1951"
ALASTAIRSIM,"Classic cinema Scrooge"
ALASTAIRSIM,"Classical Ebenezer Scrooge (1951)"
ALASTAIRSIM,"Ebenezer Scrooge portrayer"
ALBERTCAMUS,"The Fall author"
ALBERTDENTE,"Way of cooking, formally?"
ALBERTSPEER,"""Inside the Third Reich"" memoirist"
ALBERTSUMAC,"Poisonous author?"
ALBERTVILLE,"1992 Winter Olympics site"
ALBERTVILLE,"Town in the French Alps [WINTER 1992]"
ALBERTVILLE,"Where women's biathlon was introduced as a medal event"
ALBUMJACKET,"See 54D"
ALBUQUERQUE,"America's hot-air balloon capital"
ALBUQUERQUE,"Home of the annual Gathering of Nations powwow, the world's largest celebration of Native American culture"
ALBUQUERQUE,"Notah's birthplace and home"
ALCATRAZSKP,"Rare ex-prisoner"
ALCOHOLTENT,"Campsite bar?"
ALDPOORAMES,"Infamous spy"
ALDRINSBUZZ,"Army haircut for an astronaut?"
ALECBALDWIN,"""The Hunt for Red October"" actor"
ALECBALDWIN,"He plays Jack Donaghy on ""30 Rock"""
ALECBALDWIN,"The Cooler co-star"
ALECGUINESS,"He said ""Remember the Force""?"
ALECMCCOWEN,"Maggie Smith's costar in ""Travels With My Aunt"""
ALEGGSANDER,"He had a ""Ragtime Band""?"
ALEXANDEMMA,"2003 movie couple"
ALEXANDERVI,"Pope before Pius III"
ALEXANDRIAN,"Ptolemy, for one"
ALEXANDRINE,"Twelve-syllable line of verse"
ALEXCOMFORT,"""The Joy of Sex"" author"
ALEXISSMITH,"*1971 ""Follies"" Tony winner"
ALEXISZORBA,"The Greek"
ALEXPKEATON,"""Family Ties"" role"
ALEXPKEATON,"Michael J. Fox's Family Ties role"
ALEXZHAMNOV,"Moscow-born Blackhawk"
ALFREDADLER,"""Inferiority complex"" coiner"
ALFREDADLER,"Associate of Sigmund Freud"
ALFREDADLER,"Early associate of Sigmund Freud"
ALFREDADLER,"Society of Individual Psychology founder"
ALFREDADLER,"Viennese psychologist"
ALFREDDRAKE,"Singer-dancer in ""Oklahoma!"""
ALFREDNOBEL,"""He was my prize student"""
ALFREDNOBEL,"Swedish engineer and philanthropist who invented dynamite: 2 wds."
ALFREDSMITH,"Presidential also-ran"
ALFREEMANJR,"Muhammad in ""Malcolm X"" (1992)"
ALGEIBERGER,"He shot a 59 in the 1977 Memphis Classic"
ALGERHISSES,"His postcard says ""Seeing some awful plays"""
ALIBABABABA,"Treasure-finder's cake?"
ALICECOOPER,"Barrelmaker becomes rock musician"
ALICECOOPER,"Barrelmaker-rock star?"
ALICECOOPER,"Rock singer and barrelmaker?"
ALICECOOPER,"Rocker who named his daughters Calico and Sonora Rose"
ALICECOOPER,"Singer born Vincent Furnier"
ALICECOOPER,"Vincent Furnier on stage"
ALICEMARBLE,"Four-time U.S. Open winner"
ALICEMARBLE,"Women's tennis immortal"
ALICEWALKER,"""In Search of Our Mothers' Gardens"" author"
ALICEWALKER,"""The Color Purple"" novelist: 2 wds."
ALICEWALKER,"Author of ""The Color Purple"""
ALICEWALKER,"Author who should have written 'The Pathfinder'?"
ALICEWALKER,"George W. Bush's favorite author?"
ALIENNATION,"Early Fox series"
ALIMENTBABA,"Nourishing rum cake?"
ALIMONYPAID,"Deduction:""The house and the car were first year's payments..."""
ALITTLEGIRL,"Start of quip"
ALITTLEHEIR,"What the king desires to sire?"
ALITTLELAMB,"Mary's charge, in verse"
ALITTLELAMP,"What lit Mary's way in the dark?"
ALKALIMETAL,"*Lithium or sodium, e.g."
ALKALIMETAL,"Potassium, sodium or lithium, for example: 2 wds."
ALLABOUTEVE,"""ALEVEL"""
ALLABOUTEVE,"#16 on AFI's 100 best American films"
ALLABOUTEVE,"*She had to leave an ideal home, had three kids, etc."
ALLABOUTEVE,"1950 Best Picture"
ALLABOUTEVE,"1950 Bette Davis classic"
ALLABOUTEVE,"1950 Bette Davis film that won six Oscars"
ALLABOUTEVE,"1950 movie on which the musical ""Applause"" is based"
ALLABOUTEVE,"AFI's #16 (1950)"
ALLABOUTEVE,"Best Picture of 1950"
ALLABOUTEVE,"Best Picture of 1950 (Anne Baxter): 3 wds."
ALLABOUTEVE,"Bette Davis film"
ALLABOUTEVE,"Movie that the musical ""Applause"" was adapted from"
ALLABOUTEVE,"Oscar winner, 1950"
ALLABOUTEYE,"Story of a sophisticated oculist?"
ALLALONEAMI,"#3 hit by Brenda Lee"
ALLALONEAMI,"1962 Brenda Lee hit"
ALLAMERICAN,"Description of Jack Armstrong"
ALLAMERICAN,"Elite athlete"
ALLAMERICAN,"Honored athlete"
ALLAMERICAN,"Payne Stewart, at SMU"
ALLAMERICAN,"Tops, in sports"
ALLAMERICAN,"___ boy"
ALLBOOKEDUP,"Homework-bound?"
ALLBROKENUP,"Crushed"
ALLBROKENUP,"Emotionally crushed"
ALLBYMYSELF,"Hit by Eric Carmen and Rachmaninoff"
ALLBYMYSELF,"Song from ""Cast Away: The Musical""?"
ALLCONFUSED,"Befuddled"
ALLEGEDPREP,"""Honest, Professor, I studied very hard for this test""?"
ALLENSALLEY,"Senator Claghorn's address?"
ALLENTOWNPA,"Sound system in the Keystone State?"
ALLENWRENCH,"Special tool"
ALLENWRENCH,"Tim's favorite tool?"
ALLENWRENCH,"Tool with a hexagonal shaft"
ALLENWRENCH,"Woody's tool?"
ALLEVIATION,"Relief"
ALLEYCHEATS,"Ones who pad their pin count?"
ALLEYEZONME,"Classic 2Pac album"
ALLEYMCBEAL,"Bowling TV lawyer?"
ALLEYPROOFS,"Corroborations of 300 games?"
ALLFALLDOWN,"Alternate title for this puzzle"
ALLFALLDOWN,"End of a nursery rhyme, or the fate of this puzzle's other three long answers"
ALLFINISHED,"Washed up"
ALLFOOLSDAY,"4/1"
ALLFUELSDAY,"When coal, gas and oil are delivered?"
ALLHAILTOMA,"Bay State song"
ALLHALLSEVE,"Night of Arsenio's family reunion?"
ALLHOPPEDUP,"The cheery brewer was..."
ALLINFRANCE,"Tout"
ALLISBRIGHT,"End of the refrain"
ALLITERATED,"Began the same way"
ALLIWANNADO,"Sheryl Crow #2 song of 1994"
ALLMONITORS,"Every last computer screen?"
ALLNIGHTERS,"They may be pulled"
ALLOCATIONS,"Allotments"
ALLOWEDBAND,"Kosher combo?"
ALLPOINTSIN,"POLICE MESSAGE"
ALLPOWERFUL,"Like God"
ALLPOWERFUL,"Superlatively strong (or ""How It Works"" adjective for God)"
ALLRIGHTBUT,"Part 2 of quip"
ALLSTARCAST,"Collection of big-name players"
ALLSTARFAST,"Celebrity Ramadan? (temperature)"
ALLSTARGAME,"Annual summer event"
ALLSTARGAME,"Mid-season classic"
ALLSTARGAME,"One of 18 Gretzky participated in"
ALLTHATJAZZ,"""Chicago"" song"
ALLTHATJAZZ,"""Chicago"" tune complaining there's too much TV sports coverage in Salt Lake?"
ALLTHATJAZZ,"1979 Roy Scheider movie"
ALLTHATJAZZ,"1979 movie about Bob Fosse"
ALLTHATJAZZ,"Fosse film running the gamut?"
ALLTHATJAZZ,"Miscellany"
ALLTHATJAZZ,"Related things, slangily"
ALLTHATJAZZ,"Roy Scheider film"
ALLTHATJAZZ,"Semiautobiographical Bob Fosse film"
ALLTHATJAZZ,"Similar but unspecified things"
ALLTHEREAMS,"Every package of copy paper?"
ALLTHESHOTS,"Patient ordeal?"
ALLTHUMBSUP,"Unanimous?"
ALLTIMEHIGH,"Record-breaking level"
ALLTIREDOUT,"Pooped"
ALLWASHEDUP,"Done for"
ALLWASHEDUP,"Over the hill"
ALLWASHEDUP,"Past its prime"
